iter	RMSE
0	28.21717523
1	27.90173426
2	27.51680452
3	27.22191672
4	26.89039978
5	26.67324627
6	26.34707336
7	26.14211309
8	25.75039506
9	25.4602912
10	25.15951324
11	24.92271942
12	24.60798575
13	24.31421281
14	24.15811691
15	24.0105447
16	23.75328821
17	23.55301828
18	23.28287723
19	23.02506199
20	22.88729836
21	22.66486758
22	22.46730377
23	22.33982103
24	22.15496604
25	22.03681887
26	21.88477388
27	21.70962329
28	21.56964144
29	21.40855611
30	21.28409103
31	21.1607287
32	21.067591
33	20.88837024
34	20.71038659
35	20.55588332
36	20.42021172
37	20.29338208
38	20.18797773
39	20.05707128
40	20.00166619
41	19.84926851
42	19.72604759
43	19.62826859
44	19.49966234
45	19.36734361
46	19.25085298
47	19.13791319
48	19.02688902
49	18.93772938
50	18.87870761
51	18.8273789
52	18.75875749
53	18.69653573
54	18.59450619
55	18.50023931
56	18.4549756
57	18.37633544
58	18.29570897
59	18.24213766
60	18.1994133
61	18.10226817
62	18.04338179
63	17.96051623
64	17.88487203
65	17.83095585
66	17.73701328
67	17.64315057
68	17.55087854
69	17.51896985
70	17.45027044
71	17.36485773
72	17.27358289
73	17.24003389
74	17.20580143
75	17.13784569
76	17.07874563
77	16.99001923
78	16.93667768
79	16.8721661
80	16.81821045
81	16.77927447
82	16.70697199
83	16.66160962
84	16.59997421
85	16.55127175
86	16.47314382
87	16.44394019
88	16.39662409
89	16.37133487
90	16.33357791
91	16.31241512
92	16.24200548
93	16.1853973
94	16.17869856
95	16.12750056
96	16.05991366
97	16.01571554
98	15.98369681
99	15.95505496
100	15.90252107
101	15.87920225
102	15.84194266
103	15.8071092
104	15.75661779
105	15.71250078
106	15.65192167
107	15.60203677
108	15.56978489
109	15.54292195
110	15.50053853
111	15.4382777
112	15.39667024
113	15.36846415
114	15.31943674
115	15.28406581
116	15.23737501
117	15.19051328
118	15.14298088
119	15.10361976
120	15.0675747
121	15.04020572
122	15.01012198
123	14.98195009
124	14.93292322
125	14.90223797
126	14.87025696
127	14.82419218
128	14.79160669
129	14.74331909
130	14.70209087
131	14.63700827
132	14.61306336
133	14.5836891
134	14.56792794
135	14.54786925
136	14.50909644
137	14.47873796
138	14.43123685
139	14.3900238
140	14.35395735
141	14.31378825
142	14.28763055
143	14.24610808
144	14.21790763
145	14.19134699
146	14.14224758
147	14.13011233
148	14.10440076
149	14.08450381
150	14.05190065
151	14.02076085
152	13.99103764
153	13.95909082
154	13.94132467
155	13.91316786
156	13.8767929
157	13.85484417
158	13.82259358
159	13.79736196
160	13.78525436
161	13.75768162
162	13.72875049
163	13.69617779
164	13.66582125
165	13.62804138
166	13.60008425
167	13.568953
168	13.53829171
169	13.49852751
170	13.47545709
171	13.45133474
172	13.42874007
173	13.40320118
174	13.36265768
175	13.32815945
176	13.28905196
177	13.25916216
178	13.2342065
179	13.20436582
180	13.17489944
181	13.16291158
182	13.14463142
183	13.10952254
184	13.07930966
185	13.04904648
186	13.01352017
187	12.98269163
188	12.95189041
189	12.9330895
190	12.91132661
191	12.86496206
192	12.82646671
193	12.7860072
194	12.75889773
195	12.73376402
196	12.71804959
197	12.69452133
198	12.66332382
199	12.63954914
200	12.60945825
201	12.5930764
202	12.5634677
203	12.53632674
204	12.50791799
205	12.4767109
206	12.44085512
207	12.41655212
208	12.38780684
209	12.35988441
210	12.33963903
211	12.31265383
212	12.28862783
213	12.2611739
214	12.23910423
215	12.21208419
216	12.18552107
217	12.16572728
218	12.14421512
