iter	Passed	Remaining
0	134	134709
1	136	67871
2	137	45583
3	138	34428
4	139	27738
5	140	23277
6	141	20085
7	142	17686
8	143	15827
9	144	14340
10	146	13129
11	147	12115
12	148	11251
13	149	10509
14	149	9840
15	150	9276
16	151	8774
17	152	8322
18	153	7922
19	154	7569
20	155	7243
21	156	6946
22	157	6676
23	158	6429
24	158	6200
25	160	5993
26	160	5800
27	161	5622
28	162	5457
29	163	5300
30	164	5144
31	165	5005
32	166	4877
33	167	4755
34	168	4643
35	169	4536
36	170	4435
37	171	4339
38	172	4248
39	173	4163
40	174	4079
41	175	4000
42	176	3923
43	177	3852
44	178	3782
45	179	3716
46	180	3653
47	181	3591
48	182	3533
49	183	3478
50	183	3420
51	184	3370
52	185	3317
53	186	3269
54	187	3224
55	188	3180
56	189	3134
57	190	3093
58	191	3054
59	192	3016
60	193	2979
61	194	2943
62	195	2907
63	196	2874
64	197	2842
65	198	2810
66	199	2779
67	200	2750
68	201	2720
69	202	2689
70	203	2662
71	204	2637
72	205	2611
73	206	2584
74	207	2558
75	208	2534
76	209	2510
77	210	2488
78	211	2466
79	212	2444
80	213	2422
81	214	2400
82	215	2380
83	216	2362
84	217	2341
85	218	2321
86	219	2302
87	220	2283
88	221	2265
89	222	2245
90	223	2227
91	223	2207
92	224	2192
93	225	2176
94	226	2156
95	227	2140
96	228	2125
97	229	2110
98	230	2093
99	231	2080
100	232	2066
101	233	2053
102	234	2041
103	235	2028
104	236	2016
105	237	2003
106	238	1990
107	239	1978
108	240	1965
109	241	1953
110	242	1941
111	243	1929
112	244	1917
113	245	1906
114	246	1895
115	247	1884
116	248	1873
117	249	1862
118	250	1852
119	251	1842
120	252	1833
121	253	1823
122	254	1812
123	255	1803
124	256	1793
125	257	1784
126	258	1774
127	259	1766
128	260	1756
129	261	1747
130	262	1739
131	263	1730
132	264	1721
133	265	1712
134	265	1701
135	266	1693
136	267	1685
137	268	1677
138	269	1669
139	270	1661
140	271	1654
141	272	1646
142	273	1639
143	274	1632
144	275	1625
145	276	1617
146	277	1611
147	278	1603
148	279	1596
149	280	1588
150	281	1581
151	282	1575
152	283	1568
